question,answer
What plans are available?,"We offer prepaid, postpaid, family, enterprise, and data-only plans. Each tier defines fixed data limits, voice allowances, roaming eligibility, renewal rules, and addon compatibility. Enterprise plans include device management APIs and priority support."
How do I activate a new SIM?,"Insert the SIM, complete KYC with government-issued ID, verify phone number ownership, and restart the device. Network registration finishes once identity and address checks clear."
How long does activation take?,"Activation completes within 30 minutes in most regions. Delays occur only when KYC verification needs manual review or when the device fails to register on a supported band."
Is eSIM supported?,"Supported on devices that follow GSMA eSIM standards. Provisioning occurs through the customer portal, which issues a single-use QR profile tied to the account."
How do I switch from physical SIM to eSIM?,"Authenticate in the portal, request conversion, validate identity, and scan the generated QR on the device. The physical SIM deactivates immediately after profile installation."
How do I check my data balance?,"The app dashboard shows real-time usage, daily consumption, and projected depletion. The USSD balance code provides a fallback when mobile data is unavailable."
How do I upgrade my plan?,"Select an eligible higher-tier plan in the app. System recalculates prorated charges, locks the new plan for the next billing cycle, and adjusts data and voice limits at cycle start."
What is the billing cycle for postpaid?,"Billing begins on the customer's activation date and repeats every 30 days. Overages, roaming usage, and addons reflect in the next invoice with itemized entries."
How do I pay my bill?,"Supported methods include UPI, credit/debit cards, net-banking, and autopay. Autopay triggers on invoice generation to avoid service interruption for overdue accounts."
Are international roaming packs available?,"Roaming packs cover APAC, EU, Middle East, and Americas. Each pack specifies data caps, voice allowances, validity periods, and country-specific restrictions."
How do I activate international roaming?,"Purchase a region-specific roaming pack and enable roaming in device settings. System pushes roaming credentials to the visited network within minutes."
Does speed throttling occur after data limits?,"Yes. Once the plan's fair-usage data limit is exceeded, speeds drop to the published throttle rate. Full speeds resume only after renewal or purchase of a data addon."
Can I share data with family members?,"Family plans allow a single data pool managed by the primary account holder. Allocation can be set per member or left dynamic based on real-time usage."
How do I report network issues?,"File a ticket in the app specifying location, timestamps, and issue type. The diagnostic engine runs automated checks before forwarding the case to field teams."
What should I do if my SIM is lost?,"Block the SIM through the account portal to disable all network access. Request a replacement after verifying identity to prevent unauthorized usage."
Is SIM replacement chargeable?,"Yes. Replacement fees cover SIM provisioning, KYC validation, and backend reprofiling. Charges differ by region but stay within the regulated upper limit."
Is VoLTE supported?,"VoLTE is enabled for devices certified on the IMS network. High-definition calling activates automatically when LTE coverage is available."
Is WiFi Calling supported?,"Supported for most current smartphones. Calls route through secure IMS tunnels when cellular coverage is weak, maintaining voice quality and call continuity."
How do I enable WiFi Calling?,"Enable WiFi Calling in device network settings and connect to a stable WiFi network. The device registers with the IMS server once authentication succeeds."
How do I transfer my number from another carrier?,"Submit a porting request using the port code issued by the current carrier. The system validates identity, initiates number transfer, and schedules activation."
How long does porting take?,"Porting completes within 3-5 working days. During the final transfer window, short downtime occurs while routing shifts from the old carrier."
Can I pause my service temporarily?,"Temporary suspension is available for up to 90 days. Suspended accounts retain the number but lose active services until reactivation."
How do I change my registered address?,"Upload updated address proof, complete digital verification, and wait for backend validation. Address changes update billing and regulatory records."
Are corporate discounts available?,"Yes. Enterprise accounts receive volume-based discounts, pooled data options, centralized billing, and SLA-bound support."
How do I get itemized call and data usage?,"Download the usage statement from the billing dashboard. The report lists timestamps, duration, data sessions, roaming events, and cost attribution."
Is 5G available?,"5G is available on compatible devices and plans. Access depends on local coverage, device band support, and the customer's plan tier."
Which network bands are supported?,"The network operates on standardized LTE bands such as Band 3 (1800 MHz), Band 7 (2600 MHz), and Band 40 (2300 MHz) for enhanced coverage, alongside 5G NR bands including n78 (3500 MHz) for sub-6GHz and n258 (26 GHz) for mmWave in select metropolitan zones."
How do I verify device compatibility?,"Open the app and navigate to Device Check under Settings. The system reads your device model, modem capabilities, and supported band lists, then cross-validates them against the active network profile."
Can I order a SIM online?,"Yes. Log into your account, submit KYC details, select a delivery slot, and complete address verification. The SIM ships securely and activation remains pending until identity verification clears."
What ID documents are accepted for KYC?,"Government-approved identity cards like Aadhaar, Voter ID, PAN Card, international passports with valid visas, and driver's licenses. Documents must include a clear photo, signature, and current residential address."
